subject;age;gender;edu;hand;lens;cap;speed;mem;DDEdl;DDFdl;RPm;TG;S1Mean;S2Mean;S3Mean;S4Mean;S1_logm;S2_logm;S3_logm;S4_logm;SI
598;20;1;Berufslehre;1;no;-0.31;-0.47;0.11;10.4;9.2;54;0.282051282;19.92422256;29.16813142;35.8646269;80.26311492;1.299381384;1.464908608;1.554666317;1.90451601;0.605134626
599;21;2;Berufslehre;1;no;0.71;0.46;0.3;14.8;9;61.2;0.352941176;11.94452103;16.58349797;23.50512708;30.89406861;1.077168739;1.219676142;1.371162603;1.489875107;0.412706367
600;22;1;Bachelor;1;yes;-0.12;-0.7;-0.62;10;7.3;26.8;0.416666667;22.14235282;27.69188252;38.13521335;43.10013898;1.345223767;1.44235248;1.58132618;1.634478671;0.289254904
601;18;1;Matura;1;yes;-0.77;-0.06;-0.09;10.725;10.225;47.2;0.230769231;12.25491372;12.12869038;13.66542162;19.92243464;1.088310258;1.083813909;1.135623036;1.299342411;0.211032153
602;22;2;Berufslehre;1;yes;-0.19;-0.3;-0.43;17;10.325;112.3;0.333333333;22.32899918;40.02410758;47.51476871;40.42202502;1.348869258;1.602321657;1.67682862;1.606618067;0.257748809
603;19;1;oblig_Schule;1;no;0.14;-0.33;0.15;29.4;10.575;59.6;0.351351351;13.1480473;14.62892366;15.75166632;17.01129;1.118861258;1.165212374;1.197326503;1.230737248;0.11187599
605;25;1;Bachelor;1;yes;1.44;0.36;1.34;16.4;7.7;37.6;0.5;16.61928832;16.94875918;22.9904658;27.10018026;1.220612422;1.229137909;1.36154777;1.43297218;0.212359757
606;29;2;Berufslehre;1;yes;-0.47;-0.74;0.28;28.8;7.35;33.6;0.352941176;11.76732086;17.49100403;33.40072848;34.93076888;1.070677595;1.24281474;1.523755939;1.543208145;0.47253055
607;26;2;Anderes;1;yes;-0.43;0.36;0.84;12.2;6.975;52;0.333333333;14.79577539;12.40972991;14.44233707;17.42139285;1.17013773;1.093762329;1.159637477;1.241082874;0.070945144
608;21;1;Bachelor;1;yes;0.54;-0.83;-0.45;16.2;5.05;52.8;0.333333333;13.27854987;10.30404761;15.12392498;25.92478725;1.123150649;1.013007857;1.179664514;1.413715201;0.290564552
609;19;2;oblig_Schule;1;no;-0.29;-0.62;-0.36;43.6;9.375;39.6;0.3;19.07256394;24.84668032;31.40211899;47.71560233;1.280409079;1.395268372;1.496958955;1.67866041;0.398251331
610;21;1;Matura;1;no;-0.42;-0.35;-0.43;20;6.525;33.2;0.5;7.203169138;7.733829611;13.56212799;18.26834149;0.857523613;0.8883946;1.132327839;1.261699121;0.404175509
611;22;1;Berufslehre;1;no;-0.01;0.14;0.69;11.4;7.025;30.8;0.555555556;11.32844625;10.80872265;18.86093612;25.78140248;1.054170349;1.033774373;1.275563244;1.411306539;0.35713619
612;24;1;Bachelor;1;no;0.71;0.59;-0.09;15;7.3;59.6;0.35483871;15.97122698;19.7842845;45.68255009;52.04745781;1.203338282;1.296320349;1.659750339;1.716399522;0.51306124
613;20;1;Berufslehre;1;yes;-0.16;-0.69;0.03;16.4;9.125;37.6;0.583333333;29.25753265;26.01376273;39.2743469;61.58666114;1.466237698;1.415203175;1.594108972;1.78948666;0.323248962
614;19;1;Berufslehre;1;no;-0.57;0.21;-0.82;19.8;8.675;26.4;0.333333333;10.82721645;14.43424785;17.64277257;22.95644064;1.034516819;1.159394158;1.246566836;1.360904552;0.326387733
615;19;2;Berufslehre;1;yes;-0.73;-0.67;-0.63;31.6;10.8;85.8;0.142857143;18.81408167;23.17154181;32.62967514;41.76150823;1.274483025;1.364954932;1.51361275;1.620776175;0.34629315
616;20;2;Anderes;1;no;-0.13;0.03;0.42;11.7;6.75;80.4;0.4375;17.30383263;23.62501161;41.666467;31.54464751;1.238142306;1.373372031;1.619786677;1.498925679;0.260783373
617;22;1;Bachelor;1;no;0.64;0.35;-0.31;21.2;12.375;35.6;0.333333333;12.01825706;14.34304093;24.57489197;27.50209109;1.079841489;1.156641238;1.390491617;1.439365716;0.359524227
619;20;1;Berufslehre;1;yes;-0.82;-0.69;-0.11;26;7.45;84;0.333333333;13.54417329;13.98088022;18.88917331;25.10181968;1.131752502;1.145534515;1.276212951;1.399705205;0.267952704
621;22;2;Matura;1;yes;0.61;0.54;0.01;14.4;6.95;27.6;0.428571429;9.012101978;7.927171934;9.142944441;15.59595405;0.954826097;0.899118278;0.961086081;1.193011947;0.238185849
622;22;2;Bachelor;1;no;-0.08;0.18;0.02;26.8;8.6;91.275;0.565217391;20.39036153;26.94440081;36.68188653;47.46609505;1.309424926;1.43046853;1.564451663;1.676383505;0.366958579
623;21;1;Bachelor;1;no;0.65;0.24;0.76;27.6;6.55;82.4;0.28;18.50308923;27.08396329;39.69174114;48.9639287;1.267244243;1.432712217;1.59870015;1.689876257;0.422632014
624;21;1;Matura;1;no;-0.04;0.04;-0.33;19.2;11.15;38;0.272727273;16.74388535;14.06778897;24.07554346;31.19544036;1.223856242;1.148225845;1.381576099;1.494091121;0.270234879
626;19;2;Matura;2;no;-0.04;0.54;-0.37;12;10.275;46.8;0.291666667;20.06819375;23.01380389;29.62992557;37.47983367;1.302508285;1.361988408;1.471730561;1.573797655;0.27128937
628;25;2;Berufslehre;1;yes;-0.35;-0.8;0.09;25;7.275;109.8;0.28;13.64808003;17.6276428;24.80226708;30.22947021;1.13507156;1.246194242;1.39449138;1.480430536;0.345358976
