BDR,BLR,BSR,NBD,NBL,NBS,RR_even,RR_odd
4,4,5,2,4,3,31,23
9, ,4,7,4,6,11,14
10,9,4,1,1,1,18,21
5,3,3,3,1,1,22,23
5,4,3,3,4,5,28,21
3,3,7,2,5,5,16,15
7,6,7,5,4,3,31,26
5,3,7,3,4,3,32,29
4,3,3,3,2,3,26,17
8,5,6,6,5,8,28,20
5,4,4,3,3,2,19,17
6,6,6,3,3,4,33,27
3,3,3,3,3,2,10,14
5,3,7,6,6,6,35,35
4,4,6,2,3,5,23,23
6,6,3,3,3,2,29,22
6,6,6,3,3,2,27,29
4,3,6,3,3,1,18,18
3,4,4,2,3,3,16,19
6,5,4,3,4,2,29,23
5,4,7,4,4,6,23,25
4,4,6,5,3,6,26,26
6,5,6,3,3,5,33,28
9,6,6,2,5,2,33,31
8,7,4,3,4,2,31,29
7,5,5,3,4,5,29,26
4,4,3,3,1,2,17,17
8,5,6,3,4,2,34,33
7,6,6,1,3,2,25,23
4,4,5,4,3,4,18,15
6,4,6,4,8,3,29,26
3,3,6,5,5,4,16,17
5,4,6,5,1,2,20,22
7,6,3,2,4,2,32,30
3,3,5,1,2,1,22,13
5,5,7,5,5,3,29,30
4,4,5,1,1,1,13,11
7,5,7,4,6,2,35,36
4,4,6,3,2,2,28,31
6,3,6,3,2,2,18,18
5,7,6,5,4,8,31,30
6,3,6,3,2,2,18,19
5,3,3,2,2,2,31,30
3,4,6,1,1,1,31,29
3,3,3,3,2,1,14,14
7,5,4,3,4,3,24,24
7,3,5,4, ,2,21,16
6,4,6,4,4,3,36,31
6,3,6,5,3,2,22,24
3,3,5,2,2,5,12,13
5,5,4,3,1,2,18,23
7,5,6,6,4,4,27,30
8, ,6,5,4,2,27,24
6,5,6,3,1,2,23,21
5,6,6,3,5,4,39,33
4,4,3,1,1,1,12,12
5,3,5,5,3,6,15,16
5,5,7,1,7,4,36,29
4,4,5,2,1,2,16,18
9, ,5,3,3,5,23,21
4,4,4,3,2,3,19,19
5,4,5,4,5,8,27,28
5,4,6,3,3,1,20,18
4,4,6,5,5,4,27,29
6,5,5,2,2,2,10,15
5,5,5,3,5,2,20,22
8,7,6,7,1,5,31,27
4,4,5,2,2,2,17,14
6,4,5,1,2,2,25,18
6,3,5,1,1,1,11,9
6,4,6,8,2,2,18,19
6,7,4,3,4,6,34,32
3,3,4,4,3,2,21,18
6,6,6,3,3,5,36,33
6,5,3,5,8,2,31,23
3,3,3,1,1,1,11,13
6,6,4,3,3,3,27,38
7,4,6,1,1,2,20,18
5,4,5,5,4,2,27,24
3,3,6,3,2,3,20,20
9,6,6,3,2,2,38,39
8,6,6,3,5,1,30,30
5,4,5,3,3,2,37,36
5,4,6,4,5,3,30,33
5,5,6,5,2,4,33,36
3,4,6,3,4,2,27,29
6,4,6,3,3,2,34,36
7,6,3,1,6,2,35,30
5,4,6,5,2,2,27,27
3,3,5,2,2,4,20,14
5,4,5,2,3,2,26,24
5,6,7,5,5,5,24,22
6,5,5,2,1,2,19,13
7,5,6,5,2,2,39,37
9,5,7,3,3,3,34,35
6,4,7,5,5,2,31,36
6,5,5,6,2,4,34,28
5,4,4,2,3,1,23,24
6,5,4,4,3,2,18,19
6,6,6,4,4,5,38,39
7,6,6,2,4,1,28,27
3,3,5,2,1, ,20,21
3,3,3,2,1,5,30,27
6,4,4,4,3,1,15,15
7,5,5,5,3,2,29,26
6,6,6,2,6,1,23,22
4,3,6,3,2,1,11,8
5,6,5,2,1,1,17,20
5,6,7,3,2,2,18,22
4,5,6,3,1,2,26,25
6,4,3,3,1,1,17,14
7,6,6,1,1,1,23,22
8,4,4,3,4,2,36,36
5,5,6,1,2,2,29,18
8,6,6,6,4,3,32,29
8,6,6,3,2,2,17,20
8,4,6,1,1,1,26,29
8,6,6,4,8,2,39,34
6,6,6,4,5,7,36,36
8,4,4,1,1,1,14,16
5,4,3,5,6,2,23,23
3,4,4,1,2,2,18,16
5,6,3,3,1,1,20,16
6,4,5,2,2,2,22,20
7,4,6,4,4,3,32,29
3,4,5,5,7,3,33,27
7,6,6,5,4,4,34,31
5,4,4,3,4,3,27,24
3,3,5,2,2,2,18,17
8,3,3,3,4,3,31,33
5,3,3,1,1,1,15,14
5,3,3,5,3,3,14,13
8,5,3,5,6, ,31,29
3,5,6,4,2,3,31,27
4,5,7,5,4,1,30,29
3,4,3, ,4,3,30,33
4,4,6,5,2,5,36,40
4,3,4,2,2,3,15,17
7,6,3,3,4,4,32,31
6,4,6,4,3,2,28,23
5,5,7,3,4,2,24,22
3,3,3,1,1,1,18,15
3,4,5,3,3,1,23,23
6,6,3,3,4,4,31,35
7, ,6,3,2,5,25,23
4,6,6,4,1,1,32,31
4,3,3,3,2,2,14,19
5,5,6,5,4,2,21,16
6,3,3,3,2,4,33,33
5,3,4,1,8,2,14,13
6,5,6,1,4,4,36,33
9,3,3,3,2,2,26,25
5,3,5,3,4,3,26,26
4,5,6,5,4,4,34,29
6,4,6,2,2,3,19,21
6,6,5,3,4,3,29,22
3,3,4,1, ,1,22,23
7,5,6,3,2,3,27,20
6,4,4,1,1,1,11,12
5,3,6, ,4,7,28,30
3,4,5,2,1,1,28,26
5,3,6, ,4,6,29,23
3,4,3,5,5,2,26,24
3,3,4,3,2,1,14,13
7,4,6,3,5,3,38,32
6,3,5,5,4,2,31,32
5,4,4,9,6,3,22,20
4,6,6,3,2,6,20,16
7,6,6,5,8,2,36,35
3,3,3,1,1,1,16,15
8,7,6,8,2,2,33,33
8,6,6,6,2,3,36,37
 ,4,4,3,3,1,17,15
5, ,6,2,3,2,11,17
3,3,5,8,4,5,16,17
5,4,5,6,4,1,25,25
6,5,5,3,3,3,20,19
6,4,5,6,2,3,34,31
3, ,3,1,1,1,16,21
3,3,7,5,5,8,28,24
4,3,5,5,2,3,30,32
8,6,4,3,2,3,31,32
5,4,5,4,2,1,16,18
6,3,6,5,2,1,26,28
3,3,4,2,2,2,20,17
5,3,6,3,1,2,29,26
5,4,7,3,4,3,26,24
8,8,3,3,5,3,38,38
7,6,5,3,1,5,33,32
7,8,7,9,7,4,31,27
6,5,6,3,2,6,30,29
3,4,3,1,2,1,12,9
3,3,4,1,2,1,16,11
3,3,4,2,2,3,14,12
3,5,5,3,4,4, , 
4,4,5,6,4,3,31,32
7,4,5,1,4,1,23,27
5,5,3,2,3,3,23,26
6,6,7,6,4,3,36,31
9,5,5,3,3,4,25,26
7,5,6,7,8,6,36,35
6,6,3,2,6,3,14,15
5,4,6,3,3,2,37,38
3,3,5,5,2,2,25,29
5,5,6,2,4,2,17,16
5,4,3,4,2,3,31,31
6,4,5,3,3,4,27,29
5,5,5,2,1,3,28,23
6,4,6,3,2,2,32,31
6,3,3,4,1,2,21,23
8,7,6,5,3,4,33,32
5,4,3,1,2,1,14,11
5,4,3,3,5,3,28,25
7,4,6,3,1,2,18,15
6,4,4,4,1,5,24,26
6,4,7,2,5,3,28,28
6,4,6,6,4,3,36,36
6,4,6,2,2,2,35,32
3,3,4,2,1,1,20,9
4,4,7,1,1,1,27,23
3,5,5,5,5,3,32,37
6,4,6,5,4,5,26,19
4,7,3,2,1,1,13,10
3,3,6,1,2,1,23,22
4,4,4,4,4,5,15,19
5,4,6,4,7,5,24,27
8,7,6,3,3,3,37,38
4,3,5,1,1,2,10,10
7,5,6,2,3,2,20,18
7,3,6,3,2,2,20,19
6,4,5,4,3,2,15,17
5,4,5,2,1,2,20,18
4,4,4,1,1,1,30,30
5,4,6,6,5,3,33,30
7,5,4,4,2,2,25,19
3,3,5,2,1,2,22,13
7,6,6,6,3,7,37,32
6,5,4,3,2,2,27,23
6,5,6,3,8,3,28,27
5,4,6,3,3,3,27,26
7,4,6,2,5,3,34,30
6,3,6,1,2,1,31,33
5,5,4,6,6,3,36,38
3,4,4,3,1,1,35,32
4,3,6,3,5,3,15,14
3,3,3,1,1,1,16,15
4,3,6,3,1,3,21,26
4,3,6,1,1,2,16,13
6,3,6,3,3,4,29,23
3,3,3,5,3,2,19,17
3,3,3,1,1,1,12,9
7,4,6,7,5,5,19,20
5,5,3,3,5,6,30,29
6,6,6,5,4,5,28,27
6,4,6,3,3,2,36,34
3,3,4,4,3,2,30,27
3,3,7,4,4,3,19,17
6,3,6,4,7,2,33,31
6,5,6,3,4,6,30,33
4,4,6,2,2,2,27,20
5,3,4,1,1,1,28,27
4,4,5,1,7,4,26,24
4,4,5,1,1,1,11,15
6,5,6,6,5,2,15,19
8,3,5,4,3,3,37,39
4,6,5,4,8,2,24,19
6,4,6,3,4,6,17,17
3,3,4,3,2,4,19,26
7,5,6,3,4,2,28,30
3,3,3,1,1,1,14,21
5,5,5,2,2,2,18,20
6,5,5,1,1,2,21,23
4,4,5,3,1,1,24,25
4,4,4,3,6,3,30,28
3,3,5,1,2,2,21,20
4,4,3,2,4,2,19,17
3,3,5,1,1,1,12,14
3,4,5,2,2,3,21,25
5,4,3,1,2,1,20,22
6,4,6,3,5,5,29,28
3,4,6,3,4,5,27,23
3,4,5,3,3,1,14,14
5,4,4,2,3,3,9,11
6,4,6,2,3,2,35,36
4,3,5,3,3,4,16,21
3,4,4,3,4,2,26,24
5,5,6,3,2,3,24,23
3,3,3,2,1,2,13,7
5, ,3,2,2,2,16,10
5,9,6,5,4,4,21,24
9,7,3,9,8,1,30,27
4,5,6,4,6,6,32,33
3,3,3,3,2,2,21,21
8,6,6,3,8,3,38,35
4,5,4,4,2,2,24,19
6,4,5,3,4,2,16,24
5,4,5,8,4,5,35,35
4,3,6,4,4,4,27,24
7,6,5,2,3,3,31,30
4,3,3,2,1,1,19,19
4,3,5,3,3,3,31,28
5,5,6,6,6,5,29,29
5,3,6,3,3,5,37,32
8,5,6,4,6,5,38,37
5,5,5,3,4,4,28,26
3,3,3,1,1,2,19,15
5,4,4,2,4,3,14,12
8,6,6,3,4,5,39,38
9,6,6,5,1,5,32,32
8,6,5,6,4,4,19,17
5,5,6,1,1,2,15,17
4,5,5,5,3,1,29,27
6,5,5,2,3,2,30,25
6,8,4,8,8,4,32,28
6,3,6,2,2,2,31,29
6,5,7,3,1,2,35,33
8,5,6,4,4,3,29,25
