SEX,AGE,RAMP,ANALOGIES,NUMBER_SERIES,PATTER_COMPL,CSPAN,SSPAN,MENTAL_COUNTERS,CHANGE_DETECTION,TASK_ENG1,TASK_ENG2,TASK_ENG3,STAI1,STAI2,STAI3,clock1,clock2,clock3,FD_LENGTH,FD_ORIENT,FD_BRIGHT,FM_SIZE,FM_ORIENT,FM_BRIGHT,DD_FILLED_VISUAL,DD_EMPTY_VISUAL,IT_CIRCLES,IT_LINES,IT_SQUAR,DD_EMPTY_AUDITORY,DD_FILLED_AUDITORY,PITCH1,PITCH2,LOUDNESS
K,20,11,11,2,8,0.73,0.37,-0.14,5.67,0.96,1,0.88,0.18,0.18,0.2,0.38,0.64,0.81,-6.25,-6,-1.25,-16.25,-12,-36,-141.95,-167,-83.5,-116.9,-75.15,-125,-90,-3,-5.45833333,-0.0625
,41,12,9,8,9,0.7,0.49,0.11,2.92,0.98,0.96,0.92,0.27,0.25,0.27,0.89,0.25,0.47,-4.25,-2,-3,-19.25,-16.5,-47.25,-292.25,-275.55,-112.725,-70.975,-70.975,-185,-187.5,-10.5,-16.5,-0.0875
K,24,14,14,12,16,0.71,0.52,0.43,6.25,0.98,0.86,0.88,0.2,0.27,0.28,1,0.9,0.94,-6.75,-2.25,-2,-17.75,-10.5,-45,-217.1,-175.35,-144.733333,-83.5,-66.8,-95,-97.5,-10.5,-9.75,-25
K,25,10,14,12,13,0.56,0.49,0.32,6.5,0.9,0.84,0.8,0.25,0.22,0.22,0.81,0.7,0.81,-9.25,-6.5,-2.75,-14,-14.25,-28.5,-116.9,-150.3,-75.15,-66.8,-83.5,-155,-105,-7.75,-8.5,-0.0875
,20,11,8,7,11,0.78,0.53,0.16,5.42,0.9,0.72,0.44,0.4,0.37,0.4,0.88,0.25,0.56,-10.75,-8.75,-4.5,-23,-19.5,-39.75,-267.2,-325.65,-75.15,-87.675,-54.275,-260,-195,-4.75,-8.25,-0.1125
M,30,9,10,8,13,0.61,0.78,0.2,5.25,0.78,0.9,0.92,0.25,0.2,0.18,0.8,0.89,0.86,-6.75,-2.5,-4.75,-23,-14.25,-40.5,-175.35,-158.65,-70.975,-25.05,-41.75,-447.5,-60,-10,-16.75,-0.0625
K,22,15,15,9,4,0.74,0.56,0.61,5.58,0.8,0.82,0.86,0.27,0.27,0.3,0.39,0.45,0.18,-12.5,-7.75,-7.33333333,-22.25,-18,-25.5,-325.65,-211.533333,-58.45,-45.925,-70.975,-155,-120,-19.25,-14.25,-75
M,26,12,12,11,13,0.66,0.66,0.16,6.58,0.9,0.88,0.84,0.23,0.18,0.23,1,0.75,0.95,-9.25,-1.75,-4.25,-8.75,-12.75,-32.25,-108.55,-100.2,-75.15,-58.45,-66.8,-260,-135,-5.25,-24.25,-0.1125
M,22,12,9,9,10,0.52,0.64,0.1,6.75,0.86,0.9,0.82,0.28,0.27,0.28,0.5,0.64,0.88,-8.5,-5.25,-4,-8,-16.5,-36,-116.9,-217.1,-104.375,-83.5,-62.625,-282.5,-225,-10.75,-20.5,-225
K,25,9,12,3,10,0.67,0.53,0.33,6.08,0.98,0.98,1,0.23,0.23,0.23,0.94,0.94,1,-6.75,-2.75,-1.25,-14.75,-17.25,-46.5,-116.9,-50.1,-58.45,-54.275,-50.1,-117.5,-67.5,-10.5,-11.5,-25
K,23,12,11,11,9,0.67,0.47,0.21,5.83,0.78,0.76,0.78,0.32,0.32,0.3,0.72,0.84,0.33,-7.25,-3,-2.75,-20,-13.5,-39,-100.2,-150.3,-104.375,-108.55,-37.575,-207.5,-165,-19.75,-15.5,-0.0625
M,25,15,15,8,14,0.62,0.63,0.03,6.96,0.94,0.94,0.88,0.25,0.18,0.2,0.93,1,0.94,-6.75,-1.5,-5,-12.5,-6,-28.5,-133.6,-167,-100.2,-45.925,-58.45,-192.5,-75,-0.5,-7.5,-0.0375
M,28,15,14,10,14,0.77,0.77,0.5,7.42,0.86,0.86,0.8,0.27,0.27,0.28,0.56,0.5,0.4,-5.25,-1,-5,-9.5,-10.5,-24,-141.95,-83.5,-58.45,-45.925,-62.625,-35,-30,-1.25,-5.75,-25
M,26,16,16,15,17,0.7,0.6,0.15,5.92,0.86,0.84,0.86,0.38,0.33,0.33,0.92,0.93,0.92,-6.75,-3.5,-6,-16.25,-13.5,-30.75,-100.2,-58.45,-62.625,-54.275,-20.875,-147.5,-67.5,-2.5,-3.5,-0.0375
K,25,15,11,10,11,0.72,0.49,-0.01,5.5,0.92,0.9,0.88,0.22,0.25,0.27,0.85,0.89,0.82,-8.5,-5.75,-1.75,-12.5,-6,-27,-150.3,-150.3,-45.925,-79.325,-58.45,-215,-135,-8,-16.75,-0.0375
K,38,10,11,6,8,0.66,0.32,0.12,5,0.9,0.86,0.82,0.35,0.33,0.33,0.93,0.9,0.83,-8,-4.25,-4.5,-11,-12,-29.25,-217.1,-183.7,-62.625,-29.225,-62.625,-380,-82.5,-8.5,-23.5,-0.0875
M,18,12,10,5,5,0.62,0.49,0.3,5.42,0.84,0.84,0.84,0.38,0.33,0.32,0.94,0.94,1,-12.5,-2.5,-6,-11.75,-9.75,-35.25,-250.5,-116.9,-116.9,-104.375,-96.025,-162.5,-165,-7.25,-13,-75
K,23,15,12,6,10,0.81,0.61,-0.07,6.58,0.9,0.78,0.86,0.38,0.4,0.35,0.36,0.64,0.56,-8.75,-4.5,-5.25,-14.75,-10.5,-50.25,-192.05,-141.95,-75.15,-87.675,-50.1,-237.5,-112.5,-1.5,-3.75,-25
K,19,12,11,9,11,0.54,0.59,0.14,3.92,0.84,0.84,0.8,0.25,0.27,0.22,0.94,0.65,0.43,-5.5,-3.5,-4.5,-15.5,-13.5,-33.75,-308.95,-308.95,-87.675,-33.4,-70.975,-207.5,-187.5,-20.25,-9.5,-0.05
K,19,12,15,9,7,0.62,0.41,0.24,4.67,0.9,0.9,0.98,0.35,0.38,0.25,0.75,0.54,0.47,-7,-5,-4.5,-10.25,-21,-40.5,-225.45,-233.8,-137.775,-150.3,-41.75,-207.5,-165,-4.5,-5,-0.0625
K,27,15,11,9,9,0.68,0.3,-0.05,3.25,0.9,0.92,0.9,0.25,0.25,0.25,0.57,0.5,0.18,-7.75,-7.5,-3.25,-5,-16.5,-33.75,-267.2,-91.85,-100.2,-129.425,-100.2,-185,-172.5,-20.6666667,-8.25,-125
M,22,16,14,10,15,0.77,0.61,0.47,6.25,0.9,0.76,0.86,0.28,0.25,0.25,0.93,0.36,0.79,-13,-2.5,-4.25,-18.5,-11.25,-38.25,-300.6,-192.05,-66.8,-66.8,-62.625,-170,-75,-5,-3,-0.0375
M,26,9,8,4,8.83333333,0.67,0.32,0.17,3.33,0.86,0.72,0.86,0.45,0.47,0.33,0.77,0.15,0.09,-8.5,-4.25,-8.25,-14,-19.5,-29.25,-375.75,-190.658333,-66.8,-62.625,-70.975,-207.5,-187.5,-7.5,-8.25,-0.0625
M,31,12,13,8,10,0.64,0.5,0.31,3.33,0.72,0.62,0.64,0.27,0.27,0.28,0.92,1,0.75,-5.5,-2.25,-5.75,-15.5,-7.5,-46.5,-225.45,-167,-58.45,-100.2,-54.275,-282.5,-157.5,-20.75,-14.4583333,-75
K,23,10,14,8,10,0.51,0.41,0.08,5.25,0.86,0.86,0.78,0.27,0.27,0.27,0.6,0.42,0.48,-8.5,-5,-1.25,-19.25,-22.5,-45.75,-190.658333,-180.916667,-50.1,-108.55,-91.85,-177.5,-127.5,-11.5,-23.75,-0.1
K,20,13,12,6,9,0.7,0.6,0.21,4.67,0.74,0.54,0.7,0.42,0.58,0.4,1,0.95,1,-6,-4.25,-4.5,-13.25,-21.75,-37.5,-325.65,-150.3,-100.2,-116.9,-91.85,-147.5,-172.5,-25,-8,-0.0625
K,21,11,15,10,12,0.52,0.5,0.31,5.58,0.94,0.88,0.9,0.42,0.35,0.38,0.73,0.88,0.68,-8.5,-5.5,-5.5,-21.5,-9.75,-22.5,-158.65,-208.75,-58.45,-45.925,-66.8,-117.5,-60,-8.25,-8.25,-125
K,20,12,15,14,12,0.91,0.7,0.28,7,0.84,0.86,0.66,0.32,0.23,0.35,0.42,0.95,0.7,-7.75,-4,-6,-11.75,-15.75,-27,-192.05,-250.5,-62.625,-41.75,-66.8,-222.5,-180,-14,-33.3333333,-0.1
K,27,10,16,5,6,0.54,0.57,0.21,6.58,0.96,0.92,0.86,0.2,0.2,0.18,0.85,0.82,0.87,-4.5,-2,-5.25,-12.5,-15,-38.25,-100.2,-116.9,-75.15,-75.15,-83.5,-117.5,-97.5,-15.25,-23,-0.0625
K,29,16,17,6,12,0.98,0.93,0.34,4.17,0.9,0.98,0.92,0.25,0.22,0.22,0.94,0.8,0.64,-9,-6,-2.5,-15.5,-12.75,-39,-192.05,-150.3,-54.275,-41.75,-62.625,-155,-112.5,-7.75,-9.5,-0.0875
