SEX,AGE,RAMP,ANALOGIES,NUMBER_SERIES,PATTER_COMPL,CSPAN,SSPAN,MENTAL_COUNTERS,CHANGE_DETECTION,TASK_ENG1,TASK_ENG2,TASK_ENG3,STAI1,STAI2,STAI3,clock1,clock2,clock3,FD_LENGTH,FD_ORIENT,FD_BRIGHT,FM_SIZE,FM_ORIENT,FM_BRIGHT,DD_FILLED_VISUAL,DD_EMPTY_VISUAL,IT_CIRCLES,IT_LINES,IT_SQUAR,DD_EMPTY_AUDITORY,DD_FILLED_AUDITORY,PITCH1,PITCH2,LOUDNESS
M,27,13,16,4,12,0.88,0.69,0.35,7.08,0.92,0.9,0.86,0.3,0.35,0.4,0.61,0.67,0.93,-6.5,-3.75,-5,-18.5,-20.25,-30,-91.85,-108.55,-104.375,-75.15,-50.1,-185,-120,-18,-26.5,-0.0625
,18,13,13,10,9,0.77,0.56,0.37,5.25,0.84,0.88,0.88,0.48,0.53,0.42,0.8,0.91,0.93,-8,-2.25,-5.25,-20.75,-6.75,-36,-167,-133.6,-54.275,-41.75,-83.5,-57.5,-75,-7.5,-9.5,-0.05
K,28,9,13,4,14,0.72,0.53,0.19,6.58,0.82,0.78,0.86,0.38,0.47,0.23,0.88,1,0.89,-6,-1.5,-4,-21.5,-4.5,-39,-100.2,-66.8,-100.2,-89.0666667,-54.275,-72.5,-97.5,-1.25,-3,-0.1125
M,22,14,13,7,6,0.63,0.64,0.2,3.92,0.98,0.94,0.94,0.22,0.2,0.28,1,0.77,0.87,-10.25,-7.25,-4.25,-16.25,-14.25,-37.5,-183.7,-150.3,-100.2,-79.325,-70.975,-252.5,-112.5,-22,-11,-0.1125
M,29,12,6,11,12,0.87,0.6,0.49,4.58,0.84,0.82,0.76,0.32,0.32,0.3,1,0.9,0.9,-10,-4.25,-6,-21.5,-10.5,-46.5,-141.95,-158.65,-96.025,-62.625,-83.5,-110,-75,-4.5,-10,-25
K,28,15,15,9,7,0.43,0.53,0.18,5.83,0.94,0.94,0.94,0.17,0.17,0.23,0.76,0.82,0.75,-4.75,-6.25,-3.75,-17.75,-16.5,-18,-275.55,-167,-79.325,-87.675,-58.45,-192.5,-112.5,-15,-16,-0.1625
M,22,15,12,11,10,0.64,0.6,0.36,5.83,0.96,0.78,0.82,0.27,0.35,0.38,0.63,0.1,0.86,-10.25,-3,-2.25,-23,-8.25,-32.25,-150.3,-158.65,-100.2,-58.45,-41.75,-185,-112.5,-7.5,-6.25,-0.1
K,18,15,13,15,15,0.61,0.74,0.54,6.25,0.82,0.8,0.78,0.32,0.33,0.32,0.82,0.9,0.82,-5,-6,-4.25,-11,-13.5,-49.5,-100.2,-175.35,-87.675,-66.8,-45.925,-147.5,-105,-9,-13,-0.0625
M,26,13,17,8,14,0.68,0.39,0.47,4.5,0.64,0.56,0.58,0.32,0.27,0.3,0.9,0.86,0.7,-7.5,-3.5,-5,-26,-13.5,-33.75,-208.75,-100.2,-91.85,-87.675,-62.625,-125,-90,-7,-4.25,-0.1
K,29,5,7,0,3,0.34,0.42,-0.02,3.83,0.9,0.84,0.84,0.22,0.27,0.25,0.69,0.27,0.46,-7,-3.875,-3.20833333,-23.75,-15.75,-41.25,-283.9,-214.316667,-137.775,-133.6,-54.275,-170,-118.75,-12,-22,-0.1292
K,24,9,13,7,7,0.73,0.52,0.09,5.92,0.98,0.96,1,0.17,0.17,0.17,0.9,0.88,0.92,-8.5,-2,-2.5,-18.5,-14.25,-45,-100.2,-150.3,-58.45,-54.275,-62.625,-147.5,-22.5,-4,-13.5,-0.0625
K,21,13,11,9,10,0.57,0.42,0.26,5.83,0.9,0.76,0.92,0.32,0.32,0.33,0.78,0.77,0.65,-8,-4.5,-2.25,-9.5,-15.75,-31.5,-116.9,-116.9,-62.625,-37.575,-45.925,-87.5,-75,-1,-4,-75
K,29,11,14,10,10,0.49,0.41,0.09,5.75,0.94,0.98,0.88,0.2,0.18,0.22,0.88,0.86,0.93,-8.25,-5.75,-3.5,-12.5,-9,-24,-100.2,-116.9,-104.375,-83.5,-54.275,-35,-82.5,-3.5,-7.5,-0.0625
M,30,10,7,6,9,0.76,0.38,0.09,4.58,0.9,0.98,0.96,0.3,0.27,0.23,0.92,0.78,0.95,-13.25,-8.25,-2.5,-12.5,-9.75,-51.75,-83.5,-242.15,-45.925,-37.575,-41.75,-87.5,-90,-27.5,-30.5,-75
K,20,14,15,6,11,0.68,0.5,0.06,3.67,0.92,1,1,0.3,0.28,0.3,0.82,1,0.88,-7.25,-4.75,-5.75,-11.75,-16.5,-34.5,-100.2,-183.7,-70.975,-83.5,-58.45,-237.5,-225,-10,-24.75,-225
K,21,10,16,7,10,0.9,0.78,0.1,4.83,0.86,0.76,0.7,0.32,0.32,0.33,0.89,0.87,0.75,-8.5,-5.5,-4.75,-14,-7.5,-34.5,-108.55,-167,-83.5,-58.45,-41.75,-185,-150,-15.5,-10.75,-0.0375
K,20,14,11,4,3,0.54,0.56,0.19,5.58,0.88,0.86,0.86,0.37,0.28,0.25,0.5,0.93,0.93,-13,-6,-2.5,-13.25,-13.5,-26.25,-250.5,-192.05,-96.025,-125.25,-70.975,-185,-75,-7.75,-13.75,-25
K,22,12,9,13,9,0.84,0.5,0.11,5.5,0.82,0.8,0.84,0.38,0.33,0.42,0.83,0.94,0.47,-10.5,-2,-3.75,-11,-4.5,-34.5,-150.3,-91.85,-108.55,-45.925,-83.5,-102.5,-135,-7,-13,-0.0625
K,23,14,15,13,12,0.91,0.67,0.29,6.42,0.9,0.52,0.62,0.22,0.37,0.28,0.4,0.7,0.69,-4.25,-3.75,-3.75,-11,-11.25,-35.25,-167,-116.9,-83.5,-41.75,-91.85,-95,-142.5,-7.25,-15,-0.1
K,20,6,8,7,10,0.52,0.37,0.31,4.33,0.9,0.86,0.88,0.23,0.23,0.3,0.75,0.46,0.23,-8,-6,-5.5,-27.5,-13.5,-56.25,-217.1,-83.5,-133.6,-116.9,-91.85,-170,-135,-20.5,-15.25,-0.1125
K,24,14,14,13,9,0.68,0.64,0.59,6.25,0.9,0.9,0.92,0.27,0.28,0.37,0.7,0.87,0.93,-7.5,-6.5,-2,-18.5,-14.25,-29.25,-217.1,-217.1,-79.325,-70.975,-79.325,-222.5,-97.5,-8,-21.75,-0.1375
K,22,13,13,8,11,0.8,0.49,-0.01,6.67,0.84,0.88,0.82,0.3,0.28,0.28,0.84,0.71,0.93,-6.5,-3.25,-3.25,-12.5,-12.75,-24,-334,-242.15,-87.675,-91.85,-62.625,-207.5,-150,-17.5,-14.25,-0.0625
K,20,12,10,4,5,0.8,0.49,0.03,5.92,0.96,0.94,1,0.22,0.22,0.2,0.93,0.93,1,-8.75,-4.75,-6.25,-20.75,-9,-42.75,-334,-150.3,-50.1,-45.925,-16.7,-267.5,-60,-3,-6.75,-0.0875
M,18,11,11,7,8,0.58,0.61,-0.06,5.58,0.8,0.8,0.78,0.28,0.27,0.27,0.77,0.69,0.76,-6,-4,-2,-13.25,-14.25,-25.5,-150.3,-267.2,-62.625,-58.45,-125.25,-350,-97.5,-13,-19,-0.1125
K,22,12,15,8,12,0.61,0.38,0.21,5.58,0.96,0.96,0.88,0.52,0.55,0.53,0.94,0.94,0.9,-8,-3,-2.25,-14.75,-9.75,-35.25,-183.7,-225.45,-62.625,-70.975,-58.45,-117.5,-97.5,-10,-7.5,-75
K,21,14,15,8,8,0.74,0.47,-0.16,6.83,1,0.98,0.96,0.17,0.17,0.17,0.88,0.91,0.94,-7.75,-3,-3.75,-11.75,-18.75,-30,-192.05,-167,-66.8,-58.45,-66.8,-170,-165,-10.5,-15.5,-0.0625
K,20,9,10,8,6,0.61,0.39,0.09,4.58,0.66,0.62,0.64,0.25,0.17,0.2,0.89,0.79,0.69,-8.5,-3.25,-2.25,-10.25,-16.5,-39,-175.35,-183.7,-83.5,-87.675,-75.15,-162.5,-105,-16,-25.5,-75
K,27,11,14,4,13,0.7,0.48,0.32,4.92,0.86,0.8,0.9,0.18,0.22,0.18,0.5,0.27,0.29,-6,-3.75,-2,-6.5,-7.5,-39,-208.75,-133.6,-79.325,-54.275,-75.15,-162.5,-97.5,-1.5,-6.5,-0.0625
K,27,7,8,2,8,0.56,0.52,0.09,3.28,0.68,0.68,0.66,0.35,0.38,0.33,0.75,0.71,0.65,-6,-8.25,-5.5,-21.5,-24,-37.5,-267.2,-183.7,-125.25,-146.125,-96.025,-125,-150,-22,-19.25,-75
K,27,12,16,13,15,0.78,0.61,0.48,3.75,0.86,0.86,0.8,0.27,0.25,0.23,0.38,0.73,0.36,-8.75,-4.25,-2.5,-20.75,-16.5,-36,-116.9,-208.75,-66.8,-83.5,-58.45,-125,-60,-7,-7.25,-25
K,21,13,14,13,12,0.76,0.58,0.27,5.58,0.92,0.94,0.78,0.22,0.17,0.17,0.8,0.69,0.41,-8.75,-4.75,-4.5,-12.5,-15.75,-31.5,-183.7,-242.15,-83.5,-87.675,-91.85,-245,-97.5,-12.2083333,-15,-0.1125
M,24,14,16,16,17,0.72,0.84,0.4,4.5,0.94,0.88,0.86,0.25,0.22,0.25,0.93,0.62,0.43,-7.5,-4.5,-2.5,-29.75,-15,-31.5,-150.3,-183.7,-70.975,-54.275,-41.75,-237.5,-97.5,-8.75,-16,-0.05
K,21,15,12,12,11,0.64,0.59,0.4,5.25,0.88,0.74,0.78,0.4,0.4,0.33,0.95,1,1,-9.5,-8.25,-1.5,-14,-11.25,-35.25,-192.05,-217.1,-116.9,-62.625,-70.975,-170,-195,-11.25,-10.25,-0.0375
K,24,7,12,5,8,0.71,0.6,0.53,6.08,0.96,0.96,0.98,0.17,0.17,0.17,0.65,0.88,0.76,-7.25,-2,-2.75,-17.75,-13.5,-36,-158.65,-125.25,-58.45,-58.45,-54.275,-102.5,-120,-7,-9,-0.05
M,29,7,11,2,5,0.74,0.32,0.25,4.42,0.96,0.9,0.8,0.22,0.23,0.27,1,1,1,-7.5,-3.5,-2.5,-16.25,-11.25,-36,-150.3,-150.3,-58.45,-41.75,-58.45,-222.5,-75,-19,-17.75,-0.1375
K,22,8,12,6,10,0.37,0.34,0.14,4.25,0.84,0.78,0.84,0.67,0.7,0.37,0.73,0.71,0.76,-8.25,-3.75,-3,-14,-23.25,-33.125,-192.05,-167,-129.425,-87.675,-62.625,-140,-180,-5.25,-10.25,-0.1375
M,29,12,12,10,13,0.73,0.71,0.43,7,0.94,0.84,1,0.23,0.23,0.2,1,1,1,-8.75,-2.75,-5.5,-11.75,-8.25,-40.5,-167,-83.5,-58.45,-37.575,-50.1,-185,-67.5,-7.5,-6.25,-0.0625
K,20,11,16,6,8,0.79,0.66,0.24,4.92,0.82,0.84,0.84,0.37,0.33,0.32,0.83,0.9,0.55,-5,-5.5,-3.5,-11.75,-16.5,-29.25,-233.8,-183.7,-58.45,-54.275,-66.8,-230,-127.5,-9.75,-10.75,-125
K,21,13,14,11,11,0.68,0.64,0.47,6.75,0.78,0.78,0.7,0.32,0.32,0.33,0.93,0.92,0.93,-6.75,-3,-1.5,-15.5,-15.75,-35.25,-58.45,-100.2,-58.45,-79.325,-37.575,-72.5,-127.5,-7.5,-4.75,-0.0375
K,25,6,6,5,2,0.7,0.32,0.19,3,0.76,0.78,0.72,0.33,0.42,0.47,0.83,0.8,0.86,-7.91666667,-3.25,-2.75,-34.25,-13.5,-24,-334,-275.55,-125.25,-129.425,-91.85,-140,-135,-12.5,-29.5,-0.1875
M,24,15,16,8,8,0.66,0.47,0.23,5.08,0.66,0.66,0.68,0.23,0.22,0.25,0.53,0.2,0.38,-9.5,-7,-4.75,-17,-6.75,-36.75,-91.85,-116.9,-62.625,-45.925,-29.225,-95,-52.5,-4,-7,-0.0375
K,21,10,12,5,8,0.24,0.23,-0.1,4,0.92,0.72,0.88,0.4,0.32,0.28,0.89,0.72,0.75,-9,-5.75,-3.75,-17,-18.75,-45,-283.9,-217.1,-112.725,-133.6,-137.775,-365,-232.5,-14.5,-15.25,-0.0625
M,21,8,6,2,8,0.7,0.53,-0.11,5.67,0.76,0.56,0.54,0.2,0.48,0.57,0.64,0.67,0.79,-6.75,-3.5,-4.25,-12.5,-15.75,-30,-283.9,-125.25,-70.975,-91.85,-96.025,-162.5,-105,-7,-12.75,-75
K,19,12,11,8,10,0.58,0.56,0.31,5.75,0.96,0.86,0.92,0.35,0.33,0.33,0.74,0.58,0.63,-12.75,-3.25,-2.25,-15.5,-10.5,-24.75,-217.1,-208.75,-129.425,-70.975,-29.225,-185,-105,-0.5,-3.25,-75
K,20,9,13,5,6,0.6,0.49,0.24,4.75,0.94,0.8,0.8,0.3,0.28,0.32,0.87,0.79,0.69,-7,-6.75,-7.75,-25.25,-21,-40.5,-208.75,-100.2,-108.55,-79.325,-83.5,-147.5,-75,-11.75,-11.25,-0.0875
K,21,9,10,4,8,0.44,0.42,0.26,5.17,0.9,0.86,0.86,0.18,0.25,0.25,0.85,0.88,0.94,-9.25,-8.5,-4,-19.25,-18,-30.75,-183.7,-217.1,-129.425,-108.55,-70.975,-207.5,-82.5,-5.25,-12.5,-0.1375
M,22,11,11,9,9.66666667,0.82,0.77,0.48,4,0.78,0.76,0.92,0.38,0.47,0.47,0.94,0.85,0.5,-6.25,-3.5,-1.75,-18.5,-13.5,-33.75,-100.2,-217.1,-104.375,-58.45,-79.325,-147.5,-120,-1,-1.5,-0.0875
K,21,15,14,11,13,0.77,0.63,0.18,5.83,0.68,0.62,0.52,0.5,0.4,0.35,0.19,0.6,0.18,-7.5,-3.25,-2.75,-17,-11.25,-33.75,-233.8,-133.6,-79.325,-66.8,-75.15,-155,-120,-9.5,-3,-0.0875
K,21,6,13,10,6,0.4,0.18,0.36,3.67,0.96,0.96,0.98,0.17,0.17,0.17,0.75,0.38,0.31,-10.25,-5.75,-2,-20,-16.5,-40.5,-300.6,-200.4,-87.675,-54.275,-91.85,-320,-82.5,-9,-14.5,-0.05
K,26,10,10,6,7,0.7,0.49,0.03,6,0.96,0.8,0.78,0.3,0.38,0.4,1,0.94,0.56,-9.25,-4.5,-3,-5.75,-16.5,-42,-133.6,-242.15,-70.975,-133.6,-66.8,-312.5,-135,-11,-11.5,-0.05
K,18,9,11,4,7.83333333,0.61,0.52,0.31,5.17,0.94,0.84,0.8,0.27,0.33,0.37,0.93,0.94,0.95,-9.75,-3.75,-5.25,-17,-10.5,-36,-165.608333,-192.05,-133.6,-116.9,-116.9,-395,-135,-17.75,-11.5,-0.15
M,23,13,13,12,7,0.77,0.54,0.15,4.75,0.74,0.84,0.88,0.27,0.25,0.25,0.85,0.64,0.9,-8.25,-2.75,-4,-18.5,-6.75,-27,-116.9,-242.15,-62.625,-75.15,-45.925,-275,-97.5,-8,-10,-0.1
M,23,6,4,6,7,0.44,0.38,0.93,4.17,0.92,0.92,0.92,0.37,0.18,0.17,0.17,0.88,0.5,-8,-4,-3.5,-13.25,-15,-31.5,-242.15,-258.85,-91.85,-79.325,-79.325,-350,-131.25,-24.5,-19.5,-0.15
K,38,7,6,3,7,0.6,0.33,0,5.25,0.82,0.8,0.88,0.33,0.35,0.27,0.91,0.73,0.6,-8,-5.75,-3.25,-19.25,-18,-15,-275.55,-141.95,-104.375,-108.55,-66.8,-80,-135,-12,-14,-0.1125
M,20,16,15,11,13,0.94,0.58,0.49,5.92,0.86,0.78,0.92,0.27,0.3,0.22,0.79,0.91,0.88,-7.25,-2.5,-3.25,-22.25,-12.75,-39,-116.9,-83.5,-75.15,-41.75,-29.225,-117.5,-97.5,-3.5,-10.25,-0.1
M,22,10,11,10,12,0.78,0.7,0.38,6.83,0.88,0.82,0.78,0.25,0.28,0.28,0.92,1,0.86,-6,-1,-4.5,-18.5,-19.5,-34.5,-183.7,-66.8,-50.1,-66.8,-66.8,-192.5,-75,-17.75,-10.5,-0.05
M,24,11,12,6,9,0.59,0.56,0.23,3.67,0.84,0.78,0.92,0.28,0.32,0.28,0.92,1,0.93,-7.25,-4.5,-4.5,-17.75,-10.5,-24,-133.6,-25.05,-75.15,-100.2,-96.025,-95,-75,-1,-3.75,-0.1
K,20,12,13,10,8,0.44,0.59,0.3,6.92,0.94,0.86,0.98,0.17,0.17,0.17,0.82,0.94,1,-11.25,-4.5,-3.25,-20,-13.5,-19.5,-133.6,-141.95,-75.15,-54.275,-66.8,-95,-75,-6.75,-10,-0.05
K,23,12,13,9,8,0.8,0.17,0.05,6.17,0.92,0.86,0.84,0.33,0.32,0.32,0.45,0.85,0.27,-8,-6,-3.25,-13,-17.25,-44.25,-217.1,-158.65,-104.375,-50.1,-54.275,-207.5,-142.5,-5.75,-7.75,-0.0625
K,25,13,13,11,12,0.6,0.47,-0.05,7.33,0.96,0.94,0.94,0.28,0.3,0.35,0.8,1,0.88,-10.5,-2.5,-4.25,-23,-11.25,-33.75,-158.65,-175.35,-75.15,-91.85,-50.1,-290,-150,-2.5,-10.5,-0.0375
M,36,10,12,11,5,0.53,0.16,0.17,5.08,0.9,0.84,0.94,0.37,0.42,0.47,1,1,0.6,-8.25,-5,-6.25,-22.25,-12.75,-39,-275.55,-384.1,-83.5,-58.45,-58.45,-125,-112.5,-7.5,-9.75,-0.0375
K,21,12,11,8,8,0.61,0.42,0.21,4.08,0.76,0.78,0.82,0.32,0.38,0.35,0.88,0.69,0.45,-8,-4.5,-3,-19.25,-18.75,-60,-233.8,-150.3,-75.15,-54.275,-33.4,-140,-135,-2.25,-4.75,-0.1375
K,22,14,14,12,14,0.78,0.86,-0.02,4,0.86,0.9,0.84,0.33,0.33,0.35,1,0.89,0.88,-8.25,-5,-6,-16.25,-14.25,-36.75,-175.35,-141.95,-75.15,-41.75,-41.75,-237.5,-90,-12.5,-7.25,-0.0625
K,23,8,14,5,12,0.73,0.6,0.37,4.92,0.92,0.82,0.94,0.33,0.28,0.25,0.83,1,0.77,-6.25,-4.5,-1.75,-14.75,-12.75,-22.5,-125.25,-50.1,-79.325,-70.975,-87.675,-200,-82.5,-5.5,-6.75,-0.0375
K,24,9,12,6,7,0.6,0.3,-0.26,5.08,0.48,0.48,0.46,0.42,0.43,0.43,0.87,0.72,0.76,-12,-7.25,-6.5,-24.5,-15,-37.5,-250.5,-208.75,-125.25,-75.15,-96.025,-230,-105,-15.5,-11.75,-0.1
K,23,9,13,9,7,0.33,0.38,0.51,5.08,0.96,0.9,0.86,0.37,0.27,0.33,0.91,0.92,0.85,-9,-3.25,-2.25,-17.75,-17.25,-32.25,-141.95,-183.7,-83.5,-33.4,-100.2,-117.5,-135,-19.5,-27.25,-125
M,34,10,11,8,10,0.63,0.53,0.16,4.58,0.84,0.8,0.8,0.28,0.3,0.3,0.86,0.81,0.67,-8.5,-4.75,-3.5,-26,-18.75,-43.5,-187.875,-150.3,-108.55,-79.325,-75.15,-192.5,-97.5,-23,-13,-0.0875
K,23,14,13,7,11,0.77,0.69,0.56,5.67,1,0.96,0.84,0.18,0.18,0.2,0.88,1,1,-7.75,-7.25,-5.25,-19.25,-14.25,-33.75,-225.45,-75.15,-58.45,-58.45,-54.275,-87.5,-105,-9.25,-6.75,-0.0375
K,20,11,14,8,7,0.58,0.41,0.28,4.51,0.86,0.64,0.7,0.48,0.5,0.62,0.92,0.67,0.75,-6.5,-3.25,-2.25,-15.5,-16.5,-30.75,-242.15,-225.45,-58.45,-79.325,-41.75,-215,-120,-9,-12.5,-0.0625
K,28,12,9,9,9,0.66,0.4,0.11,3.47,0.72,0.7,0.68,0.35,0.35,0.35,0.79,0.63,0.29,-15.5,-9.25,-6.5,-17.75,-12.75,-40.5,-267.2,-367.4,-104.375,-146.125,-87.675,-245,-210,-8.5,-10.5,-0.1125
M,24,11,12,6,14,0.46,0.71,0.4,4.5,0.88,0.86,0.86,0.3,0.25,0.27,0.78,0.82,0.76,-7.75,-4,-1.5,-11,-14.25,-39.75,-141.95,-200.4,-79.325,-58.45,-87.675,-207.5,-90,-6.5,-11.75,-0.0375
K,21,9,12,5,5,0.64,0.16,0.19,5.42,0.66,0.5,0.5,0.48,0.48,0.38,0.56,0.76,0.63,-10.75,-4.75,-2,-12.5,-16.5,-59.25,-183.7,-217.1,-116.9,-83.5,-50.1,-155,-157.5,-3,-16.25,-0.05
M,19,12,12,10,6,0.58,0.47,0.38,5.75,0.9,0.88,0.92,0.22,0.27,0.27,0.64,0.83,1,-7.25,-4.5,-5,-24.5,-21.75,-46.5,-141.95,-83.5,-62.625,-87.675,-79.325,-275,-90,-12.25,-14.75,-0.1125
K,21,12,14,13,15,0.7,0.59,0.39,8.5,0.74,0.68,0.64,0.38,0.45,0.55,0.94,0.95,0.92,-8.25,-1,-1.5,-8,-6.75,-28.5,-167,-183.7,-91.85,-54.275,-62.625,-170,-105,-17.75,-9,-0.05
M,26,2,3,6,1,0.56,0.19,0.12,4.5,0.76,0.84,0.88,0.17,0.17,0.17,0.91,0.88,0.93,-4.5,-7,-2.75,-14.75,-16.5,-41.25,-208.75,-100.2,-87.675,-54.275,-108.55,-171.25,-157.5,-25.5,-25.5,-25
K,34,7,8,2,10,0.56,0.41,-0.14,3.75,0.78,0.8,0.78,0.38,0.45,0.47,0.18,0.07,0.5,-11.5,-6.75,-7.25,-15.5,-16.5,-36.75,-237.975,-317.3,-90.4583333,-69.5833333,-150.3,-185,-165,-11.25,-12.5,-0.0875
K,20,13,13,6,10,0.56,0.47,0.22,4.83,0.96,1,1,0.18,0.18,0.27,0.7,0.8,0.67,-9,-4.75,-4.25,-19.25,-12,-36.75,-175.35,-258.85,-133.6,-75.15,-108.55,-155,-150,-4.75,-5.5,-0.1
K,20,10,12,5,10,0.68,0.44,0.39,4,0.74,0.58,0.88,0.35,0.42,0.32,0.78,1,1,-4.75,-2.75,-2,-18.5,-15,-48,-116.9,-167,-58.45,-58.45,-55.6666667,-230,-180,-2.5,-7,-75
K,22,11,13,9,12,0.78,0.43,0.36,7.17,1,0.96,0.8,0.18,0.22,0.18,0.72,0.67,0.33,-8.5,-4.75,-5,-15.5,-11.25,-28.5,-91.85,-75.15,-58.45,-58.45,-70.975,-132.5,-105,-8,-11,-25
K,20,12,16,10,9,0.86,0.54,0.08,7.42,0.86,0.88,0.92,0.43,0.35,0.32,0.77,0.94,0.76,-7,-2.25,-1.5,-13.25,-13.5,-24.75,-192.05,-133.6,-83.5,-70.975,-62.625,-125,-105,-5.75,-5.5,-25
K,19,14,15,12,15,0.87,0.64,0.61,4.83,0.88,0.78,0.92,0.25,0.32,0.25,1,0.91,1,-9.25,-4.75,-2.5,-9.5,-14.25,-40.5,-108.55,-83.5,-66.8,-175.35,-58.45,-87.5,-45,-4.5,-4.25,-0.0875
K,33,7,11,5,7,0.31,0.4,0.41,3.25,0.76,0.74,0.64,0.48,0.35,0.35,0.65,0.6,0.29,-11.5,-8.5,-5.75,-14.75,-18,-36.75,-317.3,-242.15,-92.5458333,-121.075,-62.625,-185,-135,-8,-29,-0.0375
K,22,9,5,3,7,0.51,0.52,0.47,3.25,0.64,0.48,0.44,0.42,0.45,0.5,0.75,0.82,0.83,-9.25,-6.25,-8.25,-17.75,-10.5,-48,-237.975,-384.1,-137.775,-167,-75.15,-180,-180,-14,-10.75,-175
K,27,14,12,5,9,0.54,0.59,-0.11,4.92,0.86,0.76,0.58,0.27,0.27,0.28,0.82,0.88,0.69,-8,-6.5,-2.25,-15.5,-12,-36.75,-208.75,-275.55,-87.675,-84.1958333,-75.15,-245,-172.5,-13,-12.25,-75
K,22,11,11,4,8,0.51,0.5,0.17,5.67,0.98,0.96,0.9,0.25,0.2,0.3,0.71,0.14,0.67,-9.75,-2.5,-1.75,-12.5,-7.5,-41.25,-317.3,-233.8,-116.9,-87.675,-62.625,-215,-195,-11.25,-29.5,-0.0375
M,21,12,13,7,7,0.43,0.57,0.06,2.25,0.86,0.74,0.9,0.22,0.18,0.17,0.86,0.53,0.94,-13,-4.5,-7.25,-18.5,-20.25,-45.75,-200.4,-217.1,-96.025,-70.975,-91.85,-282.5,-165,-8.25,-15.5,-0.2375
K,21,7,10,3,3,0.63,0.5,0.25,4.08,0.7,0.64,0.72,0.52,0.53,0.52,0.81,0.88,0.8,-11.5,-6.75,-4.75,-25.25,-6.75,-60,-258.85,-225.45,-83.5,-62.625,-58.45,-215,-52.5,-9,-11.25,-0.0625
K,20,11,16,8,12,0.56,0.49,0.34,5.08,0.82,0.82,0.8,0.38,0.35,0.35,0.8,0.88,0.63,-9.75,-6,-4.25,-15.5,-15,-38.25,-200.4,-275.55,-116.9,-70.975,-58.45,-162.5,-135,-16.75,-9.25,-125
M,26,11,17,8,9,0.72,0.63,0.53,6.5,0.86,0.84,0.98,0.3,0.25,0.23,1,0.94,0.75,-8,-0.75,-3.25,-8.75,-10.5,-48,-167,-50.1,-58.45,-45.925,-41.75,-65,-112.5,-8,-7.25,-0.0375
K,23,12,15,12,10,0.56,0.56,0.18,7.17,0.78,0.74,0.8,0.43,0.52,0.38,1,1,1,-8.25,-2.25,-3.25,-6.5,-9.75,-41.25,-150.3,-150.3,-70.975,-75.15,-70.975,-102.5,-142.5,-9.25,-10.75,-0.1
K,23,11,13,9,11,0.58,0.49,0.19,4.67,0.94,0.64,0.9,0.33,0.32,0.3,1,1,0.87,-5.5,-4.5,-4.75,-14,-8.25,-57,-116.9,-183.7,-66.8,-54.275,-66.8,-282.5,-105,-1.5,-5,-125
K,24,9,13,11,10,0.42,0.39,0.3,6.25,0.82,0.9,0.76,0.28,0.25,0.22,0.88,0.83,0.73,-9,-8.25,-2.5,-12.5,-9,-30.75,-192.05,-183.7,-54.275,-79.325,-66.8,-230,-75,-9,-22,-125
M,20,13,14,11,12,0.89,0.81,0.3,7.33,0.9,0.86,0.68,0.4,0.22,0.4,0.67,0.79,1,-6.25,-9.25,-3,-14,-12.75,-29.25,-334,-192.05,-112.725,-66.8,-54.275,-215,-135,-6.75,-10,-0.0625
M,20,14,18,14,14,0.92,0.76,0.51,5.42,0.8,0.64,0.78,0.28,0.27,0.22,0.94,0.81,1,-7.75,-4,-1.5,-11.75,-18,-28.5,-192.05,-100.2,-54.275,-54.275,-41.75,-102.5,-150,-0.75,-6.75,-0.0375
K,20,13,17,11,14,0.79,0.77,0.38,6.83,1,0.9,1,0.25,0.3,0.17,0.87,0.96,0.68,-7.75,-3.5,-3.75,-9.5,-9.75,-44.25,-100.2,-175.35,-100.2,-41.75,-41.75,-80,-60,-3,-3.25,-75
K,24,15,13,9,10,0.63,0.58,0.06,6.42,0.94,0.94,0.84,0.37,0.35,0.38,0.95,0.94,0.79,-10.5,-6.75,-3.75,-13.25,-17.25,-32.25,-250.5,-33.4,-96.025,-70.975,-16.7,-215,-82.5,-22.25,-11,-0.1
K,20,10,6,4,7,0.69,0.74,0.31,3.5,0.7,0.76,0.78,0.33,0.48,0.43,0.66,0.35,0.4,-6.75,-3,-2.5,-20,-20.25,-32.25,-158.65,-183.7,-91.85,-100.2,-79.325,-237.5,-180,-12.25,-15,-0.1125
K,20,10,13,6,6,0.9,0.8,0.13,5.25,0.76,0.82,0.9,0.37,0.42,0.45,0.17,0.38,0.17,-8,-5,-2.5,-23.75,-16.5,-36.75,-200.4,-167,-87.675,-58.45,-75.15,-155,-120,-4.75,-6,-0.05
K,24,11,16,9,9,0.58,0.58,0,6.67,0.8,0.62,0.72,0.3,0.33,0.28,1,0.88,0.64,-7.5,-1.25,-5.5,-6.5,-15,-32.25,-200.4,-158.65,-70.975,-16.7,-50.1,-170,-105,-8.75,-14,-0.0875
K,23,6,6,6,4,0.41,0.37,0.13,3,0.82,0.8,0.76,0.5,0.48,0.47,0.8,0.5,0.17,-7.5,-6.25,-4,-28.25,-22.5,-39,-267.2,-308.95,-154.475,-141.95,-121.075,-192.5,-210,-11.5,-14.5,-0.1375
